0.0628319 1 -0.0628319
0.376991 0.941016 -0.372036
0.69115 0.787984 -0.650673
1.00531 0.554135 -0.870635
1.31947 0.260942 -1.00904
1.63363 -0.0638374 -1.05062
1.94779 -0.388778 -0.989326
2.26195 -0.681813 -0.829172
2.57611 -0.913386 -0.583995
2.89027 -1.05942 -0.276301
3.20442 -1.10379 0.0647841
3.51858 -1.04011 0.406261
3.83274 -0.872507 0.714436
4.1469 -0.615454 0.95823
4.46106 -0.292544 1.1123
4.77522 0.0656633 1.15965
5.08938 0.424517 1.0935
5.40354 0.748612 0.9181
5.7177 1.00527 0.648599
6.03186 1.16782 0.309722
6.34602 1.21834 -0.0664659
