0.000000 1.000000 -0.000628
0.314159 0.950956 -0.309645
0.628319 0.808807 -0.588410
0.942478 0.587451 -0.809626
1.256637 0.308541 -0.951626
1.570796 -0.000628 -1.000494
1.884956 -0.309798 -0.951426
2.199115 -0.588700 -0.809207
2.513274 -0.810025 -0.587741
2.827433 -0.952096 -0.308694
3.141593 -1.000987 0.000629
3.455752 -0.951895 0.309950
3.769911 -0.809606 0.588990
4.084070 -0.588031 0.810425
4.398230 -0.308846 0.952566
4.712389 0.000629 1.001482
5.026548 0.310103 0.952365
5.340708 0.589281 0.810006
5.654867 0.810825 0.588322
5.969026 0.953036 0.308999
6.283185 1.001976 -0.000629
