0.0628319 0.996052 -0.0628319
0.376991 0.918181 -0.368364
0.69115 0.750403 -0.637826
1.00531 0.509146 -0.844834
1.31947 0.218034 -0.969115
1.63363 -0.0944277 -0.998503
1.94779 -0.397643 -0.930118
2.26195 -0.661922 -0.770656
2.57611 -0.861386 -0.535733
2.89027 -0.976504 -0.248352
3.20442 -0.996003 0.0633481
3.51858 -0.917976 0.368845
3.83274 -0.750061 0.638225
4.1469 -0.508701 0.845111
4.46106 -0.217529 0.969244
4.77522 0.0949426 0.99847
5.08938 0.398118 0.929927
5.40354 0.662309 0.770326
5.7177 0.861649 0.535296
6.03186 0.976616 0.247851
6.34602 0.995954 -0.0638643
