0.000628319 1 -0.000628319 1 -0.000628318
0.314788 0.950956 -0.309645 0.950862 -0.309614
0.628947 0.808807 -0.58841 0.808648 -0.588293
0.943106 0.587451 -0.809626 0.587277 -0.809386
1.25727 0.308541 -0.951626 0.308419 -0.95125
1.57142 -0.000628422 -1.00049 -0.000628318 -1
1.88558 -0.309798 -0.951426 -0.309614 -0.950862
2.19974 -0.5887 -0.809207 -0.588293 -0.808648
2.5139 -0.810025 -0.587741 -0.809386 -0.587277
2.82806 -0.952096 -0.308694 -0.95125 -0.308419
3.14222 -1.00099 0.000628525 -1 0.000628318
3.45638 -0.951895 0.30995 -0.950862 0.309614
3.77054 -0.809606 0.58899 -0.808648 0.588293
4.0847 -0.588031 0.810425 -0.587277 0.809386
4.39886 -0.308846 0.952566 -0.308419 0.95125
4.71302 0.000628628 1.00148 0.000628318 1
5.02718 0.310103 0.952365 0.309614 0.950862
5.34134 0.589281 0.810006 0.588293 0.808648
5.6555 0.810825 0.588322 0.809386 0.587277
5.96965 0.953036 0.308999 0.95125 0.308419
6.28381 1.00198 -0.000628732 1 -0.000628318
